2020-01-01,Pushya,Shashthi,Purva,Hemant,Wednesday
2020-01-02,Pushya,Saptami,Uttara,Hemant,Thursday
2020-01-03,Pushya,Ashtami,Uttara,Hemant,Friday
2020-01-04,Pushya,Navami,Revati,Hemant,Saturday
2020-01-05,Pushya,Dasami,Ashwini,Hemant,Sunday
2020-01-06,Pushya,Ekadasi,Bharani,Hemant,Monday
2020-01-07,Pushya,Dvadasi,Krittika,Hemant,Tuesday
2020-01-08,Pushya,Trayodasi,Rohini,Hemant,Wednesday
2020-01-09,Pushya,Chaturdashi,Mrigashirsha,Hemant,Thursday
2020-01-10,Pushya,Amavasya,Ardra,Hemant,Friday
2020-01-11,Pushya,Padyami,Punarvasu,Hemant,Saturday
2020-01-12,Pushya,Vidiya,Pushya,Hemant,Sunday
2020-01-13,Pushya,Thadiya,Ashlesha,Hemant,Monday
2020-01-14,Pushya,Chaturthi,Magha,Hemant,Tuesday
2020-01-15,Pushya,Panchami,Uttara,Hemant,Wednesday
2020-01-16,Pushya,Shashthi,Hasta,Hemant,Thursday
2020-01-17,Pushya,Saptami,Chitra,Hemant,Friday
2020-01-18,Pushya,Navami,Svati,Hemant,Saturday
2020-01-19,Pushya,Dasami,Visakha,Hemant,Sunday
2020-01-20,Pushya,Ekadasi,Anuradha,Hemant,Monday
2020-01-21,Pushya,Dvadasi,Jyeshtha,Hemant,Tuesday
2020-01-22,Pushya,Trayodasi,Mula,Hemant,Wednesday
2020-01-23,Pushya,Chaturdashi,Purva,Hemant,Thursday
2020-01-24,Pushya,Pournami,Uttara,Hemant,Friday
2020-01-25,Magha,Padyami,Sravana,Shishir,Saturday
2020-01-26,Magha,Vidiya,Dhanistha,Shishir,Sunday
2020-01-27,Magha,Thadiya,Shatabhisha,Shishir,Monday
2020-01-28,Magha,Thadiya,Shatabhisha,Shishir,Tuesday
2020-01-29,Magha,Chaturthi,Purva,Shishir,Wednesday
2020-01-30,Magha,Panchami,Uttara,Shishir,Thursday
2020-01-31,Magha,Shashthi,Revati,Shishir,Friday
2020-02-01,Magha,Saptami,Ashwini,Shishir,Saturday
2020-02-02,Magha,Ashtami,Bharani,Shishir,Sunday
2020-02-03,Magha,Navami,Krittika,Shishir,Monday
2020-02-04,Magha,Dasami,Rohini,Shishir,Tuesday
2020-02-05,Magha,Ekadasi,Mrigashirsha,Shishir,Wednesday
2020-02-06,Magha,Dvadasi,Ardra,Shishir,Thursday
2020-02-07,Magha,Trayodasi,Punarvasu,Shishir,Friday
2020-02-08,Magha,Chaturdashi,Pushya,Shishir,Saturday
2020-02-09,Magha,Amavasya,Ashlesha,Shishir,Sunday
2020-02-10,Magha,Padyami,Magha,Shishir,Monday
2020-02-11,Magha,Thadiya,Purva,Shishir,Tuesday
2020-02-12,Magha,Chaturthi,Uttara,Shishir,Wednesday
2020-02-13,Magha,Panchami,Hasta,Shishir,Thursday
2020-02-14,Magha,Shashthi,Chitra,Shishir,Friday
2020-02-15,Magha,Saptami,Visakha,Shishir,Saturday
2020-02-16,Magha,Ashtami,Anuradha,Shishir,Sunday
2020-02-17,Magha,Navami,Jyeshtha,Shishir,Monday
2020-02-18,Magha,Dasami,Mula,Shishir,Tuesday
2020-02-19,Magha,Ekadasi,Purva,Shishir,Wednesday
2020-02-20,Magha,Dvadasi,Purva,Shishir,Thursday
2020-02-21,Magha,Trayodasi,Uttara,Shishir,Friday
2020-02-22,Magha,Chaturdashi,Sravana,Shishir,Saturday
2020-02-23,Magha,Pournami,Dhanistha,Shishir,Sunday
2020-02-24,Phalguna,Padyami,Shatabhisha,Shishir,Monday
2020-02-25,Phalguna,Vidiya,Purva,Shishir,Tuesday
2020-02-26,Phalguna,Thadiya,Uttara,Shishir,Wednesday
2020-02-27,Phalguna,Chaturthi,Revati,Shishir,Thursday
2020-02-28,Phalguna,Chaturthi,Ashwini,Shishir,Friday
2020-02-29,Phalguna,Panchami,Bharani,Shishir,Saturday
2020-03-01,Phalguna,Shashthi,Bharani,Shishir,Sunday
2020-03-02,Phalguna,Saptami,Krittika,Shishir,Monday
2020-03-03,Phalguna,Ashtami,Rohini,Shishir,Tuesday
2020-03-04,Phalguna,Navami,Mrigashirsha,Shishir,Wednesday
2020-03-05,Phalguna,Dasami,Ardra,Shishir,Thursday
2020-03-06,Phalguna,Ekadasi,Punarvasu,Shishir,Friday
2020-03-07,Phalguna,Dvadasi,Pushya,Shishir,Saturday
2020-03-08,Phalguna,Trayodasi,Ashlesha,Shishir,Sunday
2020-03-09,Phalguna,Amavasya,Purva,Shishir,Monday
2020-03-10,Phalguna,Padyami,Uttara,Shishir,Tuesday
2020-03-11,Phalguna,Vidiya,Hasta,Shishir,Wednesday
2020-03-12,Phalguna,Thadiya,Chitra,Shishir,Thursday
2020-03-13,Phalguna,Chaturthi,Svati,Shishir,Friday
2020-03-14,Phalguna,Shashthi,Visakha,Shishir,Saturday
2020-03-15,Phalguna,Saptami,Anuradha,Shishir,Sunday
2020-03-16,Phalguna,Ashtami,Jyeshtha,Shishir,Monday
2020-03-17,Phalguna,Navami,Mula,Shishir,Tuesday
2020-03-18,Phalguna,Dasami,Purva,Shishir,Wednesday
2020-03-19,Phalguna,Ekadasi,Uttara,Shishir,Thursday
2020-03-20,Phalguna,Dvadasi,Sravana,Shishir,Friday
2020-03-21,Phalguna,Dvadasi,Dhanistha,Shishir,Saturday
2020-03-22,Phalguna,Trayodasi,Shatabhisha,Shishir,Sunday
2020-03-23,Phalguna,Chaturdashi,Purva,Shishir,Monday
2020-03-24,Phalguna,Pournami,Uttara,Shishir,Tuesday
2020-03-25,Chaitra,Padyami,Revati,Vasant,Wednesday
2020-03-26,Chaitra,Vidiya,Revati,Vasant,Thursday
2020-03-27,Chaitra,Thadiya,Ashwini,Vasant,Friday
2020-03-28,Chaitra,Chaturthi,Bharani,Vasant,Saturday
2020-03-29,Chaitra,Panchami,Krittika,Vasant,Sunday
2020-03-30,Chaitra,Shashthi,Rohini,Vasant,Monday
2020-03-31,Chaitra,Saptami,Mrigashirsha,Vasant,Tuesday
2020-04-01,Chaitra,Ashtami,Ardra,Vasant,Wednesday
2020-04-02,Chaitra,Navami,Punarvasu,Vasant,Thursday
2020-04-03,Chaitra,Dasami,Pushya,Vasant,Friday
2020-04-04,Chaitra,Ekadasi,Ashlesha,Vasant,Saturday
2020-04-05,Chaitra,Dvadasi,Magha,Vasant,Sunday
2020-04-06,Chaitra,Trayodasi,Purva,Vasant,Monday
2020-04-07,Chaitra,Chaturdashi,Uttara,Vasant,Tuesday
2020-04-08,Chaitra,Amavasya,Hasta,Vasant,Wednesday
2020-04-09,Chaitra,Vidiya,Svati,Vasant,Thursday
2020-04-10,Chaitra,Thadiya,Visakha,Vasant,Friday
2020-04-11,Chaitra,Chaturthi,Anuradha,Vasant,Saturday
2020-04-12,Chaitra,Panchami,Jyeshtha,Vasant,Sunday
2020-04-13,Chaitra,Shashthi,Mula,Vasant,Monday
2020-04-14,Chaitra,Saptami,Purva,Vasant,Tuesday
2020-04-15,Chaitra,Ashtami,Uttara,Vasant,Wednesday
2020-04-16,Chaitra,Navami,Sravana,Vasant,Thursday
2020-04-17,Chaitra,Dasami,Dhanistha,Vasant,Friday
2020-04-18,Chaitra,Ekadasi,Shatabhisha,Vasant,Saturday
2020-04-19,Chaitra,Dvadasi,Purva,Vasant,Sunday
2020-04-20,Chaitra,Trayodasi,Purva,Vasant,Monday
2020-04-21,Chaitra,Chaturdashi,Uttara,Vasant,Tuesday
2020-04-22,Chaitra,Pournami,Revati,Vasant,Wednesday
2020-04-23,Chaitra,Pournami,Ashwini,Vasant,Thursday
2020-04-24,Vaisakha,Padyami,Bharani,Vasant,Friday
2020-04-25,Vaisakha,Vidiya,Krittika,Vasant,Saturday
